angry0,angry1,box0,box1,disgust0,disgust1,fear0,fear1,happy0,happy1,neutral0,neutral1,sad0,sad1,surprise0,surprise1
0.13,,"(241, 135, 117, 117)",,0.0,,0.14,,0.54,,0.1,,0.03,,0.06,
0.14,,"(242, 135, 117, 117)",,0.0,,0.1,,0.59,,0.1,,0.04,,0.03,
0.21,,"(241, 135, 117, 117)",,0.0,,0.13,,0.44,,0.11,,0.07,,0.04,
0.14,,"(241, 136, 115, 115)",,0.0,,0.19,,0.28,,0.18,,0.18,,0.03,
0.33,,"(241, 137, 115, 115)",,0.0,,0.19,,0.1,,0.15,,0.14,,0.09,
0.34,,"(240, 136, 115, 115)",,0.0,,0.23,,0.06,,0.12,,0.22,,0.02,
0.27,,"(241, 135, 117, 117)",,0.0,,0.34,,0.05,,0.13,,0.19,,0.02,
0.26,,"(241, 135, 117, 117)",,0.0,,0.31,,0.05,,0.13,,0.23,,0.02,
0.13,,"(239, 127, 130, 130)",,0.0,,0.16,,0.22,,0.17,,0.12,,0.19,
0.17,,"(240, 127, 131, 131)",,0.0,,0.1,,0.23,,0.19,,0.06,,0.25,
0.15,,"(239, 127, 130, 130)",,0.0,,0.18,,0.08,,0.19,,0.22,,0.18,
0.09,,"(240, 127, 131, 131)",,0.0,,0.17,,0.03,,0.28,,0.36,,0.07,
0.12,,"(241, 128, 130, 130)",,0.0,,0.15,,0.01,,0.32,,0.18,,0.22,
0.12,,"(241, 129, 129, 129)",,0.0,,0.15,,0.01,,0.29,,0.2,,0.22,
0.11,,"(243, 132, 123, 123)",,0.0,,0.2,,0.01,,0.34,,0.27,,0.07,
0.16,,"(243, 133, 121, 121)",,0.0,,0.21,,0.0,,0.06,,0.49,,0.08,
0.04,,"(239, 126, 133, 133)",,0.0,,0.11,,0.0,,0.09,,0.05,,0.71,
0.04,,"(244, 128, 127, 127)",,0.0,,0.21,,0.0,,0.52,,0.21,,0.01,
0.02,,"(239, 126, 129, 129)",,0.0,,0.13,,0.0,,0.7,,0.15,,0.0,
0.02,,"(244, 136, 121, 121)",,0.0,,0.61,,0.0,,0.26,,0.08,,0.02,
0.05,,"(242, 139, 121, 121)",,0.0,,0.33,,0.0,,0.41,,0.15,,0.06,
0.08,,"(245, 138, 126, 126)",,0.0,,0.25,,0.03,,0.02,,0.02,,0.61,
0.2,,"(244, 137, 128, 128)",,0.0,,0.24,,0.02,,0.02,,0.05,,0.48,
0.13,,"(243, 141, 121, 121)",,0.0,,0.13,,0.01,,0.02,,0.03,,0.69,
0.23,,"(243, 141, 121, 121)",,0.0,,0.45,,0.0,,0.08,,0.11,,0.13,
0.13,,"(242, 142, 119, 119)",,0.0,,0.54,,0.0,,0.11,,0.14,,0.08,
0.13,,"(243, 143, 117, 117)",,0.0,,0.55,,0.0,,0.07,,0.11,,0.14,
0.08,,"(246, 138, 125, 125)",,0.0,,0.58,,0.0,,0.13,,0.13,,0.08,
0.06,,"(244, 127, 134, 134)",,0.0,,0.26,,0.0,,0.15,,0.16,,0.37,
0.13,,"(247, 137, 125, 125)",,0.0,,0.57,,0.0,,0.05,,0.2,,0.05,
0.27,,"(246, 139, 122, 122)",,0.0,,0.46,,0.0,,0.07,,0.13,,0.07,
0.05,,"(248, 130, 134, 134)",,0.0,,0.4,,0.0,,0.3,,0.2,,0.05,
0.03,,"(249, 130, 135, 135)",,0.0,,0.32,,0.01,,0.41,,0.11,,0.12,
0.19,,"(249, 138, 123, 123)",,0.0,,0.49,,0.01,,0.05,,0.04,,0.22,
0.15,,"(248, 138, 122, 122)",,0.0,,0.4,,0.0,,0.05,,0.04,,0.35,
0.07,,"(249, 130, 133, 133)",,0.0,,0.44,,0.0,,0.31,,0.17,,0.01,
0.07,,"(252, 131, 129, 129)",,0.0,,0.35,,0.0,,0.36,,0.2,,0.02,
0.12,,"(252, 130, 131, 131)",,0.0,,0.16,,0.0,,0.31,,0.39,,0.01,
